Time,Temperature,Change in Length
818.255127,949.9415283,123.8236389
819.1542358,950.1156616,123.8455353
820.0553589,950.0220337,123.8291092
820.9556274,950.027771,123.8373261
821.8544922,950.2734985,123.8236389
822.7556152,950.1021729,123.8154297
823.6552124,949.8411865,123.8236389
824.5550537,949.8796997,123.8455353
825.4543457,949.9801025,123.8592224
826.3549805,949.831665,123.8729172
827.2556763,949.9864502,123.8510056
828.1553955,950.0800171,123.8564835
829.0557861,949.7344971,123.8126907
829.9550171,950.0931397,123.8318481
830.8555298,950.2703247,123.8263779
831.7543945,949.8796997,123.8263779
832.6541748,950.2319946,123.8044815
833.5552979,950.0767822,123.8154297
834.4552612,950.1409302,123.8236389
835.354126,950.1317139,123.7853241
836.2556763,950.0830689,123.8400574
837.1554565,949.9801025,123.8099518
838.0558472,949.9959106,123.8400574
838.9541016,949.8866577,123.8592224
839.8550415,950.0830689,123.8072281
840.7548828,950.0443115,123.8455353
841.6554565,950.1218262,123.8154297
842.5549927,950.1799316,123.8154297
843.4558716,950.1896973,123.7853241
844.3549805,950.0831909,123.8126907
845.2542114,950.0701904,123.8236389
846.1550903,950.1474609,123.8044815
847.0545044,949.9511719,123.7634125
847.9545288,950.0481567,123.7825851
848.8546143,950.3381348,123.7579498
849.7554321,950.0959473,123.7771072
850.6542969,950.0056152,123.8044815
851.5546265,950.0443115,123.7634354
852.4553833,950.1378174,123.768898
853.354187,950.1409302,123.7251053
854.255127,950.0481567,123.768898
855.1549072,950.1959229,123.7552109
856.055481,949.9801025,123.7415314
856.9553833,950.1021729,123.7278442
857.855835,950.0507202,123.771637
858.755188,949.9998169,123.768898
859.6547852,949.9057007,123.70047
860.555542,949.9574585,123.6785736
861.4559326,950.1602173,123.7497406
862.3543091,950.0023193,123.6949997
863.2554321,950.0125732,123.7114182
864.1550293,950.0569458,123.7223663
865.0547485,950.0443115,123.7661591
865.9553223,950.0569458,123.7333145
866.8546143,949.8023071,123.651207
867.7557373,950.0959473,123.7251053
868.6552734,949.7571411,123.6703644
869.5550537,949.8640747,123.6621552
870.4624023,950.0545044,123.7032089
871.3542481,949.6152344,123.6922607
872.255249,949.9639282,123.6594162
873.1541138,949.8702393,123.6703644
874.0544434,949.9315796,123.7141571
874.9541016,949.9315796,123.6731033
875.8544922,949.8765869,123.7415161
876.755127,949.7640991,123.6895218
877.6558838,949.7346191,123.7168961
878.5550537,949.9378052,123.7223663
879.4544067,949.779541,123.6895218
880.3545532,949.8673096,123.6949997
881.2553101,949.9093018,123.6895218
882.1548462,949.9771118,123.7223663
883.055603,949.9283447,123.6566849
883.9547119,950.0673218,123.6703644
884.8548584,949.883667,123.6840515
885.7554321,949.9221191,123.7114182
886.6541138,949.9868164,123.7032089
887.5557861,950.03479,123.6676331
888.4556885,949.9447632,123.6949997
889.354187,949.9315796,123.6758423
890.2544556,949.7346191,123.6758423
891.1554565,950.128418,123.6703644
892.0548096,950.0026245,123.7032089
892.9544678,949.9731445,123.6949997
893.854187,950.079895,123.7251053
894.7542725,950.03479,123.6813126
895.6553345,949.9415283,123.6785736
896.5558472,949.8287964,123.6785736
897.4542236,949.9960327,123.6676331
898.3555908,949.9447632,123.6594162
899.2550659,950.125061,123.6566849
900.1550293,950.0443115,123.6649017
901.0541992,949.9834595,123.6785736
901.9552612,949.7540894,123.6649017
902.8543701,950.1831665,123.6676331
903.7553101,949.9378052,123.6238403
904.6559448,950.128418,123.6238403
905.5551758,950.0417481,123.6648941
906.4543457,949.9960327,123.651207
907.3552856,949.9378052,123.6867981
908.2553711,950.1507568,123.6457367
909.1551514,950.0864258,123.6539536
910.055603,950.125061,123.648468
910.9552002,950.1092529,123.6238403
911.8542481,950.2089233,123.6238403
912.7554932,949.857605,123.6320572
913.6547241,949.9536743,123.6375198
914.555603,950.0087891,123.6594162
915.4556274,949.9221191,123.6101532
916.3552246,950.1546021,123.6895218
917.2547607,950.1994019,123.5909958
918.1558838,950.1189575,123.601944
919.0548706,950.0576782,123.5690994
919.9547119,950.1123657,123.6074143
920.8544312,950.1929932,123.6457367
921.755127,950.0443115,123.6046753
922.6551514,950.3446655,123.5964661
923.5542603,950.0545044,123.6293106
924.4557495,950.0545044,123.5909958
925.355896,950.2513428,123.5827789
926.2559815,950.1062012,123.5991898
927.1547852,950.1251221,123.6046753
928.0570679,950.1189575,123.6265717
928.9553833,950.0638428,123.6156235
929.8550415,950.1031494,123.5800476
930.7559204,950.1608276,123.6210861
931.6558838,950.2128906,123.6074143
932.5551148,950.2572022,123.6128922
933.454895,950.060669,123.6265717
934.3546753,950.1641235,123.6074143
935.2553711,950.2988281,123.6156235
936.1542969,949.8709717,123.6046753
937.0550537,950.1704102,123.5745697
937.9544067,949.8931274,123.5773087
938.8543091,950.1123657,123.5773087
939.7550659,949.8931274,123.5417252
940.6556397,950.2572022,123.5581513
941.555603,950.1673584,123.5690994
942.454834,949.96698,123.5335159
943.355896,950.0159912,123.5718308
944.2544556,950.0182495,123.5718308
945.1543579,950.0638428,123.5800476
946.055542,950.0734253,123.5608826
946.9542847,949.9898682,123.601944
947.8548584,949.9252319,123.5225601
948.7554932,950.0285034,123.5362549
949.6644287,949.9802246,123.5143585
950.5546875,950.1123657,123.5499344
951.4552612,949.883606,123.530777
952.355835,950.012085,123.5417252
953.2558594,949.9606323,123.5718308
954.1550293,950.0317993,123.5444641
955.055603,949.8735352,123.5444641
955.9545898,949.7963867,123.5499344
956.8547363,950.1123657,123.5554123
957.7548828,949.9447632,123.5444641
958.6542358,949.6546021,123.5389938
959.5541382,949.8862305,123.5472031
960.4559326,950.0864868,123.5472031
961.3543091,949.9352417,123.4952011
962.255188,949.7836914,123.5335159
963.1554565,949.6253052,123.5088806
